time,open,high,low,close,volume
2025-09-01T15:32:00.000Z,1434250,1434450,1434050,1434250,1011
2025-09-01T15:33:00.000Z,1434200,1434450,1434100,1434450,674
2025-09-01T15:34:00.000Z,1434400,1434400,1433850,1434050,1141
2025-09-01T15:35:00.000Z,1434050,1434150,1433800,1433850,1385
2025-09-01T15:36:00.000Z,1433800,1434050,1433150,1433200,3787
2025-09-01T15:37:00.000Z,1433200,1433450,1433000,1433400,3038
2025-09-01T15:38:00.000Z,1433350,1433500,1432650,1433100,3964
2025-09-01T15:39:00.000Z,1433100,1433400,1433050,1433150,1521
2025-09-01T15:40:00.000Z,1433100,1433350,1433050,1433150,1327
2025-09-01T15:41:00.000Z,1433150,1433200,1432900,1433200,915
2025-09-01T15:42:00.000Z,1433150,1433250,1432700,1432700,1121
2025-09-01T15:43:00.000Z,1432700,1433000,1432250,1432300,4301
2025-09-01T15:44:00.000Z,1432300,1432700,1432150,1432650,2189
2025-09-01T15:45:00.000Z,1432600,1432650,1431950,1432050,3144
2025-09-01T15:46:00.000Z,1432050,1432350,1431800,1431900,3728
2025-09-01T15:47:00.000Z,1431900,1433100,1431800,1432900,4589
2025-09-01T15:48:00.000Z,1432900,1433100,1432750,1433050,1858
2025-09-01T15:49:00.000Z,1433050,1433400,1432850,1433300,2340
2025-09-01T15:50:00.000Z,1433250,1433400,1432650,1432850,2548
2025-09-01T15:51:00.000Z,1432850,1433250,1432800,1433100,1300
2025-09-01T15:52:00.000Z,1433150,1433300,1433000,1433200,798
2025-09-01T15:53:00.000Z,1433150,1433350,1433050,1433250,871
2025-09-01T15:54:00.000Z,1433250,1433700,1433200,1433400,2217
2025-09-01T15:55:00.000Z,1433450,1433800,1433300,1433500,2066
2025-09-01T15:56:00.000Z,1433550,1433650,1433250,1433250,1239
2025-09-01T15:57:00.000Z,1433250,1433450,1433150,1433350,1391
2025-09-01T15:58:00.000Z,1433350,1433400,1433200,1433250,783
2025-09-01T15:59:00.000Z,1433250,1433350,1432800,1433000,2409
2025-09-01T16:00:00.000Z,1432950,1433200,1432400,1432550,3492
2025-09-01T16:01:00.000Z,1432550,1432800,1432400,1432650,1427
2025-09-01T16:02:00.000Z,1432650,1432800,1432400,1432500,988
2025-09-01T16:03:00.000Z,1432550,1432700,1432300,1432500,1135
2025-09-01T16:04:00.000Z,1432450,1432650,1432400,1432550,699
2025-09-01T16:05:00.000Z,1432600,1432800,1432150,1432350,2056
2025-09-01T16:06:00.000Z,1432350,1432800,1432150,1432750,1785
2025-09-01T16:07:00.000Z,1432700,1433150,1432700,1433000,2094
2025-09-01T16:08:00.000Z,1433000,1433000,1432800,1432900,784
2025-09-01T16:09:00.000Z,1432900,1432950,1432500,1432750,1049
2025-09-01T16:10:00.000Z,1432750,1432800,1432000,1432500,3088
2025-09-01T16:11:00.000Z,1432500,1432850,1432300,1432800,1383
2025-09-01T16:12:00.000Z,1432850,1433000,1432650,1432750,1321
2025-09-01T16:13:00.000Z,1432750,1432850,1432350,1432600,1201
2025-09-01T16:14:00.000Z,1432550,1432800,1432350,1432750,812
2025-09-01T16:15:00.000Z,1432750,1432800,1432550,1432700,841
